"Area","SiteCode","EPANumber","CAMS","Location1(km)","LongitudeLatitude","Status2","Site Info","StartDate","EndDate"
"Attainment Areas","AMSH","483750024","24","-426.4,-511.1","-101.716,35.280","NR","Amarillo SH 136, Amarillo, Potter, TX","2010-04-25",""
"Attainment Areas","ATAM","483750320","320","-444.3,-518.9","-101.909,35.201","NR","Amarillo Texas A&M C320, Amarillo, Potter, TX","2005-04-12",""
"Attainment Areas","BEVL","480250641","641","-78.2,-1293.4","-97.790,28.360","NR","Beeville Airport C641, Beeville, Bee, TX","2005-07-26","2006-10-18"
"Attainment Areas","CLVL","483870648","648","179.4,-704.4","-95.060,33.620","NR","Clarksville NTRD C648/C668, Clarksville, Red River, TX","2005-07-27","2006-12-15"
"Attainment Areas","COLE","481750624","624","-21.8,-1253.2","-97.221,28.721","NR","Coleto C624, Victoria, Goliad, TX","2010-07-10",""
"Attainment Areas","CRSA","483491051","1051","56.7,-882.8","-96.399,32.032","NR","Corsicana Airport C1051, Corsicana, Navarro, TX","2009-06-16",""
"Attainment Areas","EGPS","483230004","319","-339.9,-1248.9","-100.451,28.702","NR","Eagle Pass C319/C655, Eagle Pass, Maverick, TX","2005-08-22",""
"Attainment Areas","FAYT","481490001","601","24.7,-1114.0","-96.745,29.962","NR","Fayette County C601, Roundtop, Fayette, TX","2000-05-18",""
"Attainment Areas","GMNP","481090658","658","-737.5,-867.0","-104.806,31.891","NR","Guadalupe Mountain National Park C658, Salt Flat, Culberson, TX","2006-04-24","2007-01-31"
"Attainment Areas","GRAN","482210001","73","-75.4,-837.0","-97.803,32.442","R","Granbury C73/C681, Granbury, Hood, TX","2000-05-09",""
"Attainment Areas","GRVL","482311006","1006","82.4,-757.8","-96.115,33.153","R","Greenville C1006/A198, Greenville, Hunt, TX","2003-03-19",""
"Attainment Areas","HLTV","482850649","649","6.5,-1171.7","-96.933,29.447","NR","Hallettsville C649, Halletsville, Lavaca, TX","2005-08-01","2007-11-15"
"Attainment Areas","LACT","483739001","1027","223.4,-1028.4","-94.674,30.702","R","Alabama-Coushatta-TX C1027, Livingston, Polk, TX","2005-04-13",""
"Attainment Areas","LBMD","483030325","325","-448.5,-697.6","-101.850,33.591","NR","Lubbock C325, Lubbock, Lubbock, TX","2008-08-20",""
"Attainment Areas","MDOB","482430004","317","-680.2,-1008.6","-104.085,30.668","NR","McDonald Observatory C317, Fort Davis, Jeff Davis, TX","2003-02-24",""
"Attainment Areas","NASS","482730314","314","-29.9,-1398.8","-97.299,27.427","NR","National Seashore C314, Corpus Christi, Kleberg, TX","2002-12-11",""
