CAMS,PMC Cab Temp,Ext Coef,D/N,Pres WX,Pres WX Obs,WSA,WSR,WDR,Max Gust,STD WD,Out Temp,Dew Point,Int Temp,Rel Humid,Vis,Slr Rad,UV Rad,Net Rad,Press,Precip,CAMS
1,,,,,,1,1,1,1,1,1,,1,,,,,,,,1
8,,,,,,1,1,1,1,1,1,1,3,1,,1,,,1,,8
,,,,,,,,,,,,,1,,,,,,,,
11,,,,,,1,1,1,1,1,1,,1,,,,,,,,11
15,,,,,,1,1,1,1,1,1,1,1,1,,1,,,,,15
,,,,,,,,,,,,,5,,,,,,,,
26,,,,,,1,1,1,1,1,1,1,1,1,,1,,,,,26
35,4,,,,,1,1,1,1,1,1,1,3,1,,1,,,,,35
,,,,,,,,,,,,,2,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,
45,,,,,,1,1,1,1,1,1,,3,,,1,,,,,45
,,,,,,,,,,,,,1,,,,,,,,
53,,,,,,1,1,1,1,1,1,,1,,,1,,,,,53
78,,,,,,1,1,1,1,1,1,,3,,,1,,,,,78
,,,,,,,,,,,,,1,,,,,,,,
84,,,,,,1,1,1,1,1,1,,1,,,,,,,,84
96,,,,,,1,1,1,1,1,1,,1,,,,,,,,96
145,,,,,,1,1,1,1,1,1,,1,,,,,,,,145
148,,,,,,1,1,1,1,1,1,,1,,,,,,,,148
167,,,,,,1,1,1,1,1,1,,1,,,,,,,,167
169,,,,,,1,1,1,1,1,1,,1,,,,,,,,169
243,,,,,,1,1,1,1,1,1,,1,,,,,,,1,243
403,,,,,,1,1,1,1,1,1,1,3,1,,1,1,,1,1,403
,,,,,,,,,,,,,2,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,
404,,,,,,1,1,1,1,1,1,,1,,,,,,,,404
405,,,,,,,,,,,,,1,,,,,,,,405
406,,,,,,,,,,,,,1,,,,,,,1,406
408,,,,,,,,,,,,,1,,,,,,,,408
409,,,,,,1,1,1,1,1,1,,1,,,,,,,,409
410,,,,,,1,1,1,1,1,1,,1,,,,,,,,410
416,,,,,,1,1,1,1,1,1,1,3,1,,1,1,,1,1,416
,,,,,,,,,,,,,1,,,,,,,,
552,,,,,,,,,,,,,1,,,,,,,,552
553,,,,,,,,,,,,,1,,,,,,,,553
556,,,,,,1,1,1,1,1,,,1,,,1,,,,,556
558,,,,,,,,,,,,,1,,,,,,,,558
559,,,,,,1,1,1,1,1,1,,1,,,1,,,,,559
560,,,,,,1,1,1,1,1,1,,1,,,1,,,,,560
561,,,,,,,,,,,,,1,,,,,,,,561
562,,,,,,,,,,,,,1,,,,,,,,562
563,,,,,,,,,,,,,1,,,,,,,,563
570,,,,,,,1,1,,,1,,,1,,,,,,,570
571,,,,,,,1,1,,,1,,,1,,,,,,,571
603,,,,,,1,1,1,1,1,1,,2,,,,,1,,,603
,,,,,,,,,,,,,1,,,,,,,,
615,,,,,,1,1,1,1,1,1,,1,,,,,,,,615
616,,,,,,1,1,1,1,1,1,,1,,,,,,,,616
617,,,,,,1,1,1,1,1,1,,1,,,,,1,,,617
620,,,,,,1,1,1,1,1,1,,1,,,,,1,,,620
621,,,,,,1,1,1,1,1,1,,1,,,,,,,,621
671,,,,,,1,2,2,,2,,,,,,,,,,,671
,,,,,,2,1,1,,1,,,,,,,,,,,
673,,,,,,1,2,2,,2,,,,,,,,,,,673
,,,,,,2,1,1,,1,,,,,,,,,,,
695,,,,,,,1,1,,,1,,,1,,,,,1,1,695
696,,,,,,,1,1,,,1,,,1,,,,,1,1,696
698,,,,,,,1,1,,,1,,,1,,,,,1,1,698
699,,,,,,,1,1,,,1,,3,1,,,,,1,1,699
1012,,,,,,1,1,1,1,1,1,,1,,,,,,,,1012
1015,,,,,,1,1,1,1,1,1,,1,,,1,,,,,1015
1016,,,,,,1,1,1,1,1,1,,1,,,1,,,,,1016
1017,,,,,,1,1,1,1,1,1,,1,,,1,,,,,1017
1020,,,,,,1,1,1,1,1,1,,1,,,,,,,,1020
1022,,,,,,1,1,1,1,1,1,,1,,,,,,,,1022
1029,,,,,,1,1,1,1,1,1,,1,,,,,,,,1029
1034,,,,,,1,1,1,1,1,1,1,3,1,,1,,,,,1034
,,,,,,,,,,,,,1,,,,,,,,
1036,,,,,,1,1,1,1,1,1,,1,,,,,,,,1036
1049,,,,,,1,1,1,1,1,1,,1,,,,,,,,1049
1052,,,,,,1,1,1,1,1,1,,1,,,,,,,,1052
1066,,,,,,1,1,1,1,1,1,,1,,,,,,,,1066
1607,,,,,,1,1,1,1,1,1,,1,,,,,,,,1607
5005,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,,1,5005
5006,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,,1,5006
5012,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,,1,5012
Totals,1,3,3,3,3,50,56,56,46,50,51,10,64,16,3,16,2,3,7,11,Totals
